"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","Uczelnia"
"633",43,397119887,"2024-01-11 14:13:30","2024-01-11 14:51:51","00:38:21","00:38:21","Psychologia",NA,"Niestacjonarne","Jednolite studia magisterskie","","","Piąty","To jest uczelnia pierwszego wyboru","","Nie","","Tak","3","Żałuję, że studenci niestacjonarni często są na UIK traktowani niesprawiedliwie. Płacimy za studia, które nie są tanie, a mimo to uczelnia ma problem żeby zapewnić nam dostęp do przedmiotów i prowadzących. - Największy problem jest z przedmiotami obieralnymi, bo podczas gdy studenci dzienni mają do wyboru po kilka przedmiotów z każdej ścieżki kształcenia to my nie mamy właściwie nic. Dostępne zajęcia są okrojone, bo jak usłyszeliśmy prowadzący nie chcą pracować w weekendy. Reszta zajęć zazwyczaj koliduje z ustalonym już planem i w ten sposób większość mojego roku ma w tym semestrze dwa różne zajęcia jednocześnie... Zgłaszaliśmy problem wielokrotnie, ale nikogo z administracji uczelni to nie obchodzi...
- Kolejny problem to był proponowany nam wybór promotorów. Jeden z nich do samego końca był wpisany jako ""nieznany"", więc nie wiem jak oczekiwano od nas podjęcia wyboru. W efekcie dwoje z nich to psychologowie rozwojowi mimo, że rozwojówka wcale nie została otworzona na naszym roku. Dla psychokryminologii nie było nikogo więc teraz musimy porzucić swoje zainteresowania i pisać pracę na kompletnie inny temat jeśli chcemy liczyć na pomoc promotora
- Kolejna spawa to utrzymywanie studiów zdalnych w nieskończoność - bo covid, bo remont, bo zima i wszystko inne... 
- Plany zajęć często są układane chyba na ślepo, a pracownicy COS robią wszystko byle studenta spławić 
- Studiuję tam 5 rok i jeszcze nie miałam okazji zobaczyć w toaletach ręczników papierowych, o mydło również trudno, a wieszaki na kurtki w kabinach to najwyraźniej zbyt duży wydatek...
- Korzystanie z biblioteki jest tak nieintuicyjne i bezsensownie zorganizowane, że po prostu szkoda zachodu i lepiej iść gdzieś indziej... a te zbiory niby dostępne online to są zwyczajnie śmieszne
Wszystko to musiałoby się zmienić chociaż minimalnie. Niestety Ignatianum nie cieszy się teraz najlepszą opinią i wiem, że moja opinia nie jest odosobniona","3","5","1","Nie jest to dla mnie istotne","2","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"świetni prowadzący na ścieżce z psychokryminologii","problemy z kadrą pracowniczą","wieczne studia zdalne",".","psychokryminologia","wolne niedziele","w piątki zajęcia dopiero od 16:45","3","5","6","4","2","1","7","2","1","5","6","4","2","4","4","2","6","3","2","4","Trudno powiedzieć","6","6","6","6","6","2","1","5","Trudno powiedzieć","Kobieta","Frydrychowice","Wieś","małopolskie","Wolę nie odpowiadać",0,0,0,1,0,0,0,"",0,"","PC",NA,NA,"","00:00:20","00:00:22","00:00:08","","","00:00:05","00:00:09","","00:00:05","","00:00:16","00:25:56","00:00:53","00:00:49","00:01:44","00:01:45","00:00:34","00:00:26","00:01:30","00:01:05","00:00:47","00:00:24","00:00:46","00:00:13","00:00:04","UIK"
"634",44,397120580,"2024-01-11 13:58:24","2024-01-11 14:57:59","00:59:35","00:59:35","Psychologia",NA,"Niestacjonarne","Jednolite studia magisterskie","","","Czwarty","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Komisji Edukacji Narodowej w Krakowie","Tak","Uniwersytet Szczeciński","Nie","1. Niska satysfakcja","Podejście do studentów niestacjonarnych. 

Teraz mamy przedmiot o nazwie ""wprowadzenie do praktyk"", w sylabusie są wpisane spotkania z psychologami-praktykami, ale wszystkie odbywają się w środku tygodnia w godzinach do 12, z racji pracy wiele osób nie może na nie uczęszczać, a nie zawsze dostajemy dostęp do nagrań z tych spotkań (nie każdy wyraża zgodę na nagrywanie i jest to w pełni zrozumiałe). 

Poza tym uczelnia jest zbyt mocno nastawiona na badania ilościowe (na początku semestru było do wyboru aż 4 prowadzących i wszyscy prowadzą badania ilościowe). Niby można wykonać badanie jakościowe na magisterkę, ale jednak nie bardzo. 

Kolejną kwestią jest fatalna organizacja roku (wszystkie wykłady są online, a ćwiczenia są na uczelni, więc wszystkie zaliczenia wypadają jednego dnia). 

Bardzo duży nacisk położony jest na przedmioty związane z terapią dzieci, rodzin oraz psychoanalizą, pozostałe rodzaje terapii są prawie całkowicie pomijane (na przedmiocie o nazwie wprowadzenie do psychoterapii, 4 wykłady były o nurcie psychodynamicznym, a o poznawczo-behawioralnym był jeden, bardzo na szybko, byle było).

Z przedmiotów obieralnych musimy wybierać te, które są w tygodniu (dla dziennych). Wszystkie zajęcia dla zaocznych nachodziły nam na inne, również obowiązkowe zajęcia.

Również beznadziejną sprawą jest sposób prowadzenia zajęć przez wykładowców. Duża ich część po prostu dosłownie czyta podręcznik na zajęciach. 

Podsumowując, gdybym cofnęła się w czasie, po pierwszym roku zamieniłabym uczelnię na inną :)","3","2","Trudno powiedzieć","Nie jest to dla mnie istotne","2","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"","Nastawienie tylko na badania ilościowe","Zajęcia w trybie hybrydowym","Psychokryminologia jako specjalność","Próg punktowy","","","2","7","6","4","Trudno powiedzieć","Trudno powiedzieć","7","Trudno powiedzieć","1","1","6","Trudno powiedzieć","Trudno powiedzieć","1","7","6","Trudno powiedzieć","1","2","Trudno powiedzieć","Trudno powiedzieć","7","7","Trudno powiedzieć","5","7","1","1","Trudno powiedzieć","Trudno powiedzieć","Kobieta","Kraków","Miasto 500 000 i więcej mieszkańców","małopolskie","Pracuję na etat (pełny lub część)",0,0,0,0,0,1,0,"",0,"Jest jeszcze sprawa. Zajęcia dzień przed wigilią albo innymi świętami. Jest to irytujące dla osób mieszkających w Krakowie, a co dopiero dla dojeżdżających","Mobile",NA,NA,"","00:01:35","00:00:09","00:00:03","","","00:00:06","00:00:04","00:01:05","00:00:03","00:00:08","00:00:14","00:23:35","00:01:18","00:00:21","00:00:12","00:12:11","00:00:16","00:00:17","00:14:58","00:00:32","00:00:38","00:00:18","00:00:22","00:00:08","00:01:02","UIK"
"635",45,397120883,"2024-01-11 14:47:51","2024-01-11 15:01:03","00:13:12","00:13:12","Pedagogika przedszkolna i wczesnoszkolna",NA,"Stacjonarne","Jednolite studia magisterskie","","","Piąty","Chciałam/chciałem studiować na innej uczelni","Gdy nie dostałam się na UJ myślałam nad UP i UIK. Ostatecznie wybrałam UIK","Nie","","Tak","5","Praktyczność i lepsze rozdysponowanie przedmiotów. Po pierwsze praktyki były zdecydowanie za późno dopiero na trzecim roku. Przez pierwsze 25 roku nie byłam w stanie skonfrontować swojej teoretycznej wiedzy z praktyką, ani nawet mieć jakiegoś odnośnika praktycznego, ponieważ pierwsze praktyki i tak polegały na obserwacji. Mogłyby one się odbywać dużo dużo wcześniej, co byłoby wzbogacające treści z zajęć i moje doświadczenie. Po drugie rozmieszczenie przedmiotów jest moim zdaniem nieprzemyślane. Na ostatnim roku, gdy główne siły skupione są na pisaniu prac magisterskich mamy aż 10 przedmiotów. Wolałabym, by przez wcześniejsze lata były one zrealizowane. Ponadto, przedmioty zupełnie nieprzystające do rzeczywistości, jak zajęcia techniczne, na których robimy wycinanki i projekty na piątym roku studiów są ironiczne, w czasie gdy zabierają czas na pisanie pracy magisterskiej. Takie przedmioty powinny być na pierwszym roku by łagodnie wprowadzić się w proces studiowania. Dodatkowo było za mało metodyki edukacji i w wielu przypadkach zajęcia to opierały się na teorii. Przez całe 5 lat studiów nie dowiedziałam się jak uczyć dzieci tabliczki mnożenia i jak w ciekawy sposób uczyć ortografii.","6","3","7","Nie jest to dla mnie istotne","Trudno powiedzieć","Trudno powiedzieć",1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"","Podejście personalistyczne","Kameralność","Duchowość","Lokalizacja w Krakowie","Kierunek, który chciałam studiować","Lepsze opinie niż UP","4","4","7","2","5","Trudno powiedzieć","7","Trudno powiedzieć","5","2","3","6","5","5","3","7","4","4","5","Trudno powiedzieć","2","3","7","2","1","1","6","5","4","5","Kobieta","Rzeszów","Miasto 100 000-499 999 mieszkańców","podkarpackie","Wykonuję umowy zlecenia, umowy o dzieło",0,0,0,0,1,0,1,"Otwarta na duchowość, ale nie religijną",0,"Cieszę się, że studiując dwa kierunki jestem w stanie to robić. Nie ma problemu w sprawie indywidualnej organizacji studiów, czy nawet plan pewnie nieświadomie, jest tak ułożony że logopedia z pedagogiką wczesnoszkolną i przedszkolną nie nakładają się zbyt bardzo pod względem zajęć. Jest sporo takich osób, które równocześnie studiują dwa te kierunki tak jak ja i dobrze byłoby to uwzględniać planując zajęcia.","Mobile",NA,NA,"","00:00:12","00:00:10","00:00:05","","","00:00:05","00:00:09","00:00:31","00:00:05","","00:00:14","00:03:56","00:00:33","00:00:48","00:00:24","00:00:33","00:00:28","00:00:26","00:00:47","00:00:31","00:00:38","00:00:18","00:00:37","00:00:29","00:01:13","UIK"
"636",46,397121174,"2024-01-11 14:48:39","2024-01-11 15:03:31","00:14:52","00:14:52","Dziennikarstwo i komunikacja społeczna",NA,"Stacjonarne","Drugi","","Drugi","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","3","Adekwatność przedmiotów do kierunku. O ile na studiach licencjackich program był ciekawy i satysfakcjonujący, o tyle drugi stopień pozostawia wiele do życzenia. Większość przedmiotów się powtarza, inne nawiązuje bardziej do kulturoznawstwa niż dziennikarstwa.","5","4","3","Nie jest to dla mnie istotne","5","Nie jest to dla mnie istotne",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"","Kameralność","Piecza jezuitów","Wychowanie","Przyjazna atmosfera","Kameralność","","5","6","6","5","4","Trudno powiedzieć","6","4","Trudno powiedzieć","5","7","5","5","4","4","5","4","3","3","Trudno powiedzieć","5","6","Trudno powiedzieć","5","7","7","6","6","6","7","Kobieta","Bruśnik","Wieś","małopolskie","Wykonuję umowy zlecenia, umowy o dzieło",1,0,0,0,0,0,0,"",0,"","Mobile",NA,NA,"","00:02:18","00:00:10","00:00:05","","00:00:04","","00:00:11","","00:00:07","","00:00:11","00:01:48","00:00:45","00:00:34","00:01:00","00:01:06","00:01:11","00:00:11","00:01:05","00:00:58","00:01:20","00:00:33","00:01:01","00:00:07","00:00:07","UIK"
"637",47,397121513,"2024-01-11 14:52:37","2024-01-11 15:06:15","00:13:38","00:13:38","Filologia angielska",NA,"Stacjonarne","Pierwszy","Drugi","","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","5","Uważam, że ilość czasu, którą trzeba poświęcić na przygotowanie wszystkich prac, zadań oraz przygotowanie się do zajęć jest zbyt duża. Uniemożliwia to rozwijanie innych pasji. Przedmiot za 1 ects wymaga tyle samo pracy lub nawet więcej niż przedmiot za 3 ects. Ta dysproporcja sprawia, że studenci czują się przytłoczeni. Są również zajęcia, które w żaden sposób nie wpływają na poziom wiedzy z danego przedmiotu, mowa tutaj o zajęciach językowych. Powinny one być dopasowane do poziomu we wszystkich latach, aby studenci czuli faktyczny postęp.","6","6","4","6","7","Trudno powiedzieć",0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,"","Poczucie wspólnoty","Dobre podejście większości wykładowców","Ciekawa oferta","Kameralna","Dobra kadra","Katolicka","3","5","7","5","5","6","5","6","5","7","7","7","7","6","Trudno powiedzieć","4","7","6","5","Trudno powiedzieć","6","6","6","6","6","6","2","6","3","7","Kobieta","Chocznia","Wieś","małopolskie","Nie pracuję",1,1,1,0,0,0,0,"",0,"","Mobile",NA,NA,"","00:00:06","00:00:09","00:00:04","00:00:04","","","00:00:12","","00:00:04","","00:00:17","00:06:08","00:00:39","00:00:31","00:00:19","00:01:13","00:00:45","00:00:02","00:00:47","00:00:29","00:00:35","00:00:24","00:00:34","00:00:13","00:00:03","UIK"
"638",48,397121999,"2024-01-11 14:54:35","2024-01-11 15:10:16","00:15:41","00:15:41","Psychologia",NA,"Stacjonarne","Jednolite studia magisterskie","","","Pierwszy","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Jagielloński","Nie","","Nie","6","","5","5","6","Nie jest to dla mnie istotne","5","7",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,"","Pasja do nauczania i nauczanego przedmiotu u większości wykładowców","Indywidualne podejście do studenta","Kameralność, która sprawia, że nie czuję się zagubiona na uczelni","Dobra renoma kierunku, który mnie interesował","Niski próg wejściowy","","5","3","4","5","6","6","2","6","6","2","6","Trudno powiedzieć","Trudno powiedzieć","7","6","2","Trudno powiedzieć","5","6","Trudno powiedzieć","5","1","1","1","3","4","2","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Kobieta","Tarnów","Miasto 100 000-499 999 mieszkańców","małopolskie","Wykonuję umowy zlecenia, umowy o dzieło",1,0,1,0,1,0,0,"",0,"Znacznie przewyższyła moje oczekiwania. Prawie nic nie wiedziałam na temat tej uczelni zanim przyszłam, nie wybija się popularnością na tle innych uczelni w Krakowie. Jednak ani trochę nie żałuję, że nie dostałam się np. na UJ i że dałam szansę UIK.","PC",NA,NA,"","00:00:05","00:00:06","00:00:16","","","00:00:06","00:00:04","00:00:12","00:00:03","","00:00:15","","00:00:49","00:00:52","00:00:58","00:02:41","00:01:28","00:00:05","00:00:52","00:01:10","00:01:15","00:00:36","00:00:35","00:00:31","00:02:46","UIK"
"639",49,397122161,"2024-01-11 15:04:26","2024-01-11 15:11:25","00:06:59","00:06:59","Psychologia",NA,"Stacjonarne","Jednolite studia magisterskie","","","Trzeci","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Jagielloński","Tak","Uniwersytet Jagielloński","Tak","5","Więcej praktycznych ćwiczeń","2","4","7","Nie jest to dla mnie istotne","3","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Dobra atmosfera","Fajni ludzie","Poczucie przynależności","Dostępny kierunek studiów","Lokalizacja względem rodzinnego miasta","Dobra opinia","5","4","2","5","7","2","5","Trudno powiedzieć","1","7","7","7","7","7","5","1","5","5","6","7","Trudno powiedzieć","5","2","Trudno powiedzieć","7","7","7","7","Trudno powiedzieć","Trudno powiedzieć","Mężczyzna","Korczyna","Wieś","małopolskie","Nie pracuję",0,0,0,0,1,0,0,"",0,"","Mobile",NA,NA,"","00:00:24","00:00:04","00:00:05","","","00:00:03","00:00:05","00:00:06","00:00:02","00:00:05","00:00:12","00:00:22","00:00:36","00:00:27","00:00:11","00:00:42","00:00:43","00:00:10","00:00:44","00:00:29","00:00:33","00:00:15","00:00:29","00:00:10","00:00:02","UIK"
"640",50,397122608,"2024-01-11 15:06:20","2024-01-11 15:15:26","00:09:06","00:09:06","Administracja i polityka publiczna",NA,"Stacjonarne","Pierwszy","Pierwszy","","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Pedagogiczny","Nie","","Tak","6","","7","7","7","5","7","Nie jest to dla mnie istotne",1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,"","Kameralna","Indywidualne podejście do studenta","","Mała","Dobra renoma","","6","7","4","7","7","3","7","5","3","6","7","6","6","6","2","4","6","6","7","5","6","6","5","5","6","7","2","6","3","Trudno powiedzieć","Kobieta","","Wieś","małopolskie","Nie pracuję",0,0,1,0,0,0,0,"",0,"","Mobile",NA,NA,"","00:00:51","00:00:08","00:00:05","00:00:03","","","00:00:06","00:00:18","00:00:04","","00:00:15","","00:01:02","00:00:34","00:00:30","00:00:58","00:00:19","00:00:07","00:01:02","00:00:45","00:00:44","00:00:29","00:00:29","00:00:13","00:00:04","UIK"
"641",51,397122872,"2024-01-11 14:47:24","2024-01-11 15:17:32","00:30:08","00:30:08","Pedagogika przedszkolna i wczesnoszkolna",NA,"Stacjonarne","Jednolite studia magisterskie","","","Piąty","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Pedagogiczny w Krakowie","Nie","","Tak","6","","6","5","5","7","5","Trudno powiedzieć",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Życzliwość, kameralność, wiara","Niewielka","Katolicka","Życzliwi wykładowcy","Dostępność kierunków","Lokalizacja","Możliwości","5","6","7","7","6","7","6","Trudno powiedzieć","Trudno powiedzieć","6","6","6","6","6","Trudno powiedzieć","5","7","6","6","Trudno powiedzieć","Trudno powiedzieć","7","6","Trudno powiedzieć","6","5","3","Trudno powiedzieć","5","Trudno powiedzieć","Kobieta","Odrzykoń","Wieś","podkarpackie","Nie pracuję",1,0,1,0,0,0,0,"",0,"Wyjątkowe jest to, że osoby z innych uczelni bardzo często narzekają na swoich wykładowców, że chcą oni dla studenta tylko źle a ja i moi koledzy z uczelni aż tak nie i właściwie prawie każdy wykładowca faktycznie chce dobrze dla każdego studenta - myślę że wpływają na to wartości religijne. Na przestrzeni ostatnich 2 lat jednak bardziej na przestrzeni władzy zmienia się to niestety na negatywne i potrzeby studenta schodzą trochę na drugi plan.","Mobile",NA,NA,"","00:01:06","00:00:13","00:00:05","","","00:00:09","00:00:37","00:00:16","00:00:04","","00:00:40","","00:01:08","00:13:05","00:01:36","00:01:56","00:00:15","00:00:28","00:01:04","00:00:59","00:01:03","00:00:27","00:00:40","00:00:21","00:03:56","UIK"
"642",52,397123223,"2024-01-11 14:37:41","2024-01-11 15:21:10","00:43:29","00:43:29","Pedagogika przedszkolna i wczesnoszkolna",NA,"Niestacjonarne","Jednolite studia magisterskie","","","Trzeci","To jest uczelnia pierwszego wyboru","","Nie","","Nie","Nie wiem / trudno powiedzieć","Ze strony Wykładowców - bardziej realne podejście do możliwości czasowych studentów niestacjonarnych, którzy w tygodniu pracują, mają rodziny...","6","6","6","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Wygórowane wymagania, zabieranie wszelkiego możliwego czasu wolnego na wykonywanie prac, projektów, prezentacji, scenariuszy itp z prawie każdego przedmiotu.","Kiedyś najważniejszym atutem było Veni, do którego przychodzili również studenci z innych Uczelni, ważni więc byli studenci i ich potrzeby","","","Brak zajęć w niedzielę","Bliskość bazyliki Najświętszego Serca Pana Jezusa","Uczelnia katolicka","6","Trudno powiedzieć","4","Trudno powiedzieć","Trudno powiedzieć","3","6","Trudno powiedzieć","2","4","Trudno powiedzieć","6","6","6","Trudno powiedzieć","4","6","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","7","6","Trudno powiedzieć","Trudno powiedzieć","7","7","7","7","Trudno powiedzieć","Kobieta","","Miasto 500 000 i więcej mieszkańców","małopolskie","Pracuję na etat (pełny lub część)",0,0,1,0,0,0,0,"",0,"","Mobile",NA,NA,"","00:18:57","00:00:16","00:00:06","","","00:00:04","00:00:16","","00:00:04","","00:00:49","00:03:15","00:01:25","00:00:53","00:03:21","00:03:20","00:01:18","00:00:27","00:03:01","00:01:30","00:01:27","00:00:44","00:01:11","00:00:11","00:00:54","UIK"
"643",53,397124651,"2024-01-11 15:23:23","2024-01-11 15:34:04","00:10:41","00:10:41","Psychologia",NA,"Stacjonarne","Jednolite studia magisterskie","","","Pierwszy","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Jagielloński","Nie","","Tak","6","","4","6","6","Nie jest to dla mnie istotne","4","2",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"","kameralna","otwarta","zaangażowana","miała interesujący mnie kierunek","łatwość dostania się na studia","mało znana","6","Trudno powiedzieć","3","6","5","3","5","5","6","6","7","4","4","6","Trudno powiedzieć","Trudno powiedzieć","6","Trudno powiedzieć","6","Trudno powiedzieć","Trudno powiedzieć","5","Trudno powiedzieć","Trudno powiedzieć","5","5","6","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Kobieta","","Wieś","podkarpackie","Nie pracuję",0,1,0,0,0,0,0,"",0,"","PC",NA,NA,"","00:01:48","00:00:33","00:00:09","","","00:00:07","00:00:05","00:00:11","00:00:05","","00:00:23","","00:00:55","00:00:36","00:00:26","00:00:47","00:00:34","00:00:14","00:01:20","00:00:38","00:00:34","00:00:23","00:00:36","00:00:14","00:00:03","UIK"
"644",54,397124972,"2024-01-11 15:19:24","2024-01-11 15:37:16","00:17:52","00:17:52","Filozofia",NA,"Stacjonarne","Drugi","","Drugi","","To jest uczelnia pierwszego wyboru","","Nie","","Nie","5","Zbliżenie do anglosaskiej kultury uniwersyteckiej","5","6","7","Nie jest to dla mnie istotne","5","5",0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,"","Swoboda","Nauczanie","Kameralność","Kameralność","Nauczanie","Swoboda","Trudno powiedzieć","5","Trudno powiedzieć","6","Trudno powiedzieć","5","2","6","2","6","6","Trudno powiedzieć","Trudno powiedzieć","5","4","2","6","5","6","6","Trudno powiedzieć","4","5","Trudno powiedzieć","6","6","6","5","Trudno powiedzieć","6","Mężczyzna","Kraków","Miasto 500 000 i więcej mieszkańców","małopolskie","Wolę nie odpowiadać",0,0,0,0,1,0,0,"",0,"","Mobile",NA,NA,"","00:02:38","00:00:11","00:00:09","","00:00:03","","00:00:08","","00:00:05","","00:00:15","00:01:25","00:01:27","00:01:29","00:00:38","00:00:50","00:00:27","00:00:32","00:02:06","00:01:37","00:01:48","00:00:49","00:00:52","00:00:17","00:00:06","UIK"
"645",55,397125017,"2024-01-11 15:26:24","2024-01-11 15:37:44","00:11:20","00:11:20","Psychologia",NA,"Niestacjonarne","Jednolite studia magisterskie","","","Trzeci","To jest uczelnia pierwszego wyboru","","Tak","Akademia Górniczo Hutnicza w Krakowie","Tak","6","","5","6","6","6","Nie jest to dla mnie istotne","Nie jest to dla mnie istotne",1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,"","Świetna kadra specjalistów, nie tylko teoretycy, ale przede wszystkim praktycy","Kameralność a jednocześnie publiczność uczelni","Wyrozumiałość prowadzących, indywidualne podejście, chęć dzielenia się wiedzą","Świetna kadra specjalistów, nie tylko teoretycy, ale przede wszystkim praktycy","","","6","3","4","5","5","5","2","Trudno powiedzieć","Trudno powiedzieć","6","6","6","6","6","3","1","6","5","6","Trudno powiedzieć","Trudno powiedzieć","2","1","Trudno powiedzieć","6","6","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Kobieta","","Wieś","małopolskie","Pracuję na etat (pełny lub część)",1,1,1,0,0,0,0,"",0,"","Mobile",NA,NA,"","00:00:09","00:00:11","00:00:05","","","00:00:04","00:00:07","","00:00:05","00:00:19","00:00:20","","00:01:02","00:01:28","00:00:21","00:02:34","00:00:03","00:00:19","00:01:14","00:00:45","00:00:54","00:00:26","00:00:38","00:00:13","00:00:03","UIK"
"646",56,397125617,"2024-01-11 15:26:13","2024-01-11 15:43:58","00:17:45","00:17:45","Pedagogika",NA,"Stacjonarne","Pierwszy","Pierwszy","","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","7. Wysoka satysfakcja","","6","6","7","7","7","Nie jest to dla mnie istotne",1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,"","Wolność","Możliwość rozwoju","Kameralność","dobra opinia","kameralna","dobra kadra","7","Trudno powiedzieć","5","6","Trudno powiedzieć","5","7","6","7","6","Trudno powiedzieć","7","Trudno powiedzieć","7","3","6","6","6","7","Trudno powiedzieć","4","7","7","7","6","7","5","Trudno powiedzieć","6","Trudno powiedzieć","Kobieta","Gilowice","Wieś","śląskie","Pracuję, ale nie mam umowy",0,1,1,0,0,0,0,"",0,"","Mobile",NA,NA,"","00:00:13","00:00:10","00:00:17","00:00:01","","","00:00:07","","00:00:04","","00:00:11","","00:01:13","00:00:42","00:00:22","00:00:58","00:00:28","00:00:05","00:01:45","00:03:53","00:01:04","00:05:21","00:00:30","00:00:18","00:00:03","UIK"
"647",57,397126022,"2024-01-11 15:40:04","2024-01-11 15:47:43","00:07:39","00:07:39","Zarządzanie i nowe technologie w sferze publicznej",NA,"Stacjonarne","Pierwszy","Drugi","","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Pedagogiczny w Krakowie","Nie","","Tak","6","","7","6","7","Nie jest to dla mnie istotne","Nie jest to dla mnie istotne","Nie jest to dla mnie istotne",1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,"","Ciekawe kierunki","Działalność pozanaukowa studentów","Uczelnia katolicka","Lokalizacja","Dojazd","Kierunki","6","3","Trudno powiedzieć","6","7","7","Trudno powiedzieć","1","4","5","7","Trudno powiedzieć","7","7","Trudno powiedzieć","1","7","6","6","Trudno powiedzieć","Trudno powiedzieć","5","4","5","Trudno powiedzieć","Trudno powiedzieć","7","5","Trudno powiedzieć","6","Kobieta","Zakrzowiec","Wieś","małopolskie","Wykonuję umowy zlecenia, umowy o dzieło",0,0,1,0,0,0,0,"",0,"","Mobile",NA,NA,"","00:00:06","00:00:06","00:00:05","00:00:04","","","00:00:05","00:00:10","00:00:27","","00:00:10","","00:01:47","00:00:35","00:00:24","00:00:39","00:00:16","00:00:08","00:00:35","00:00:31","00:00:32","00:00:16","00:00:27","00:00:11","00:00:05","UIK"
"648",58,397126487,"2024-01-11 15:39:57","2024-01-11 15:52:00","00:12:03","00:12:03","Zarządzanie i nowe technologie w sferze publicznej",NA,"Stacjonarne","Pierwszy","Trzeci","","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Papieski Jana Pawła II w Krakowie","Nie","","Tak","5","Niektóre treści kształcenia powtarzały się i nakładały z innymi przedmiotami.
Brakuje miejsca do spędzania czasu, gdzie można by było zjeść coś ciepłego.","5","5","5","Nie jest to dla mnie istotne","Nie jest to dla mnie istotne","Nie jest to dla mnie istotne",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Kameralność","Otwartość","Nastawienie na studenta","Atrakcyjność kierunku","Lokalizacja","","5","3","4","5","5","5","3","Trudno powiedzieć","Trudno powiedzieć","6","6","6","6","5","Trudno powiedzieć","4","6","6","6","5","Trudno powiedzieć","5","6","3","3","5","5","Trudno powiedzieć","5","6","Kobieta","","Miasto do 19 999 mieszkańców","małopolskie","Pracuję na etat (pełny lub część)",1,0,0,0,0,0,0,"",0,"","Mobile",NA,NA,"","00:00:08","00:00:11","00:00:06","00:00:02","","","00:00:08","00:00:55","00:00:06","","00:00:13","00:01:09","00:00:48","00:00:35","00:00:19","00:00:30","00:00:38","00:00:05","00:00:47","00:03:26","00:00:46","00:00:24","00:00:31","00:00:13","00:00:03","UIK"
